area_no,company_name,job_name,salary
6001001001,robinmay總公司_薇恩股份有限公司,採購助理(年後上班),"月薪30,000~35,000元"
6001001001,品信法律事務所,日間工讀生,時薪183~200元
6001001001,德益法律事務所,行政助理,"月薪27,470~30,000元"
6001001001,冠暘有限公司,行政人員,"月薪30,400元以上"
6001001001,中國勞工安全衛生管理學會,【總會-教育訓練處】行政助理(具有評鑑或TTQS相關工作經驗者 為佳),"月薪29,000~32,000元"
6001001001,李相台診所,醫務行政管理,"月薪32,000~35,000元"
6001001001,優捷勝股份有限公司,【中正區-近西門】行政助理,"月薪27,470~30,000元"
6001001001,財團法人台灣中小企業聯合輔導基金會,【融】工讀生/行政助理,時薪183~200元
6001001001,藝珂人事顧問股份有限公司,【郵件收發行政助理 | 台灣知名金融集團】台北車站、穩定周休六日、工作穩定&#039;| BIS_202,"月薪28,000~30,000元"
6001001001,熟透國際有限公司,電商包裝出貨工讀生,時薪183元
6001001001,中碩知識管理顧問股份有限公司,行政人員/行政助理,"月薪30,000~38,000元"
6001001001,萬寶華企業管理顧問股份有限公司,長期派遣銀行部門行政助理｜歡迎夜校生、二度就業｜周休六日｜501EJ,"月薪27,470~29,000元"
6001001001,和康顧問有限公司,資訊部行政助理,"月薪30,000~33,000元"
6001001001,雍興實業股份有限公司,派駐銀行長期月薪制勤務員（近忠孝新生捷運站),"月薪30,000元"
6001001001,財團法人國防安全研究院,秘書室(長期工讀生),時薪183元
6001001001,楊凱雯律師事務所,行政助理秘書,"月薪28,000~36,000元"
6001001001,地標網通股份有限公司,內勤行政助理(台北中正區),"月薪31,000~36,000元"
6001001001,東森購物_電視購物_東森得易購股份有限公司,助理秘書,"月薪38,000元以上"
6001001001,財團法人中華民國對外漁業合作發展協會,專案計畫助理-漁業監控中心輪值人員,"月薪34,000~48,000元"
6001001001,華卡企業股份有限公司,永豐銀行｜行政人員｜純內勤無壓力、在校生可｜中正區 / 松山區,"月薪27,470~29,000元"
6001001001,極緻租賃股份有限公司,業務助理,"月薪30,000元以上"
6001001001,財團法人農業科技研究院,研究專員-產業分析組(行政/PM),"月薪36,000~41,999元"
6001001001,歐彼國際有限公司,行政人員,"月薪30,000~34,000元"
6001001001,蓋婭基因股份有限公司,【總部擴編】行政助理/專員,"月薪28,000~33,000元"
6001001001,國立臺北科技大學,國立臺北科技大學應用英文系誠徵教育部委辦APEC計畫業務專任助理,"月薪36,000~40,000元"
6001001001,台灣維特網路股份有限公司,採購與行政文書,遠端工作
6001001001,美堅國際股份有限公司,行政專員,"月薪30,000~39,000元"
6001001001,社團法人中華民國管理科學學會,長期工讀生,時薪183~200元
6001001001,愛上新鮮股份有限公司,業務助理,"月薪28,000~30,000元"
6001001001,赫綵電腦有限公司,行政助理,"月薪27,470~31,000元"
6001001001,工作電腦平台有限公司,行政助理,"月薪27,470~30,000元"
6001001001,總公司_長頸鹿文化事業股份有限公司,(台北分公司)行政工讀生,時薪183元
6001001001,萬通教育股份有限公司,補教行政助理（平日午班）,時薪183~200元
6001001001,藤道出版社,陽光外向的行政助理，籌備主管,遠端工作
6001001001,楓橡科技股份有限公司,會計助理,"月薪30,000~43,000元"
6001001001,威志企管顧問股份有限公司,日文翻譯、行政助理（短時間工作歡迎：但、毎日5小時以上能工作的人）,時薪183元
6001001001,財團法人兩岸交流遠景基金會,資管組行政助理,"月薪30,821~40,190元"
6001001001,萬達保險經紀人股份有限公司,產物保險行政助理 (無需招攬業務),"月薪28,000~35,000元"
6001001001,新加坡商立福人事顧問有限公司台灣分公司,蝦皮總部_行政工讀【關鍵字標註#】_中正區/短期三個月_AN,時薪183元
6001001001,專品藥局_專品醫療器材股份有限公司,【挑戰年薪48萬起】門市後勤助理-南昌店(無經驗可),"月薪32,000~40,000元"
6001001001,惠森復健科診所,診所兼職櫃檯 (平日晚上18:00-22:00),時薪183元
6001001001,台灣維特網路股份有限公司,行政文書助理(台北),遠端工作
6001001001,喬睿科技股份有限公司,[TapPay] 業務助理 (Sales Assistant),"月薪30,000~38,000元"
6001001001,梵宇國際有限公司,長期工讀生 / 兼職 / 計時人員 (門市),時薪183元以上
6001001001,好租一二三股份有限公司,業務助理,"月薪30,000~40,000元"
6001001001,曉數碼股份有限公司,【工讀・兼職】行政助理 Administrative Assistant（身心障礙可）,時薪183~190元
6001001001,服部創意有限公司,[ 台北-總公司 ] 業務部_神隊友 | 業務助理 (正職),"月薪32,000~40,000元"
6001001001,永康地產開發有限公司,行政人員,"月薪33,500~36,000元"
6001001001,地標網通股份有限公司,內勤業務(台北中正區),"月薪36,000~50,000元"
6001001001,全速科技有限公司,專案管理專員,待遇面議
6001001001,海悅國際開發股份有限公司,接待中心工讀生（台北－中正區．璞真宇見）,時薪185元
6001001001,台灣梯西愛爾電器股份有限公司,行政人員,"月薪28,000~30,000元"
6001001001,安普騰科技教育股份有限公司,講義室-教務編輯專員,"月薪35,000元以上"
6001001001,台灣智能漢方股份有限公司,特助,"月薪30,000~45,000元"
6001001001,中國信託產物保險股份有限公司,業務助理人員【理賠】,"月薪33,000~45,000元"
6001001001,永旭保險經紀人股份有限公司_永信營業部(劉珈君),行政助理,"月薪30,000元"
6001001001,萬寶華企業管理顧問股份有限公司,日商產險【東門】行政助理_28K+全勤獎金700元_無經驗可.夜校生.二度就業可_101RI,"月薪28,000~28,700元"
